pygame 2.0.1 (SDL 2.0.14, Python 3.9.1)
Hello from the pygame community. https://www.pygame.org/contribute.html
Generation 59: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 60: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L']. Fitness: 45.1
Generation 61: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 62: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 63: ['NONE', 'R', 'D', 'R', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 64: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 65: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 66: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 67: ['NONE', 'R', 'D', 'R', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 68: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'R', 'R', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 69: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 70: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 71: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'R', 'R', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 72: ['NONE', 'R', 'D', 'R', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L', 'NONE']. Fitness: 45.1
Generation 73: ['NONE', 'R', 'D', 'R', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'L', 'NONE']. Fitness: 45.1
Generation 74: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'R', 'R', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 75: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'R', 'R', 'R', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'L', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
Generation 76: ['NONE', 'NONE', 'NONE', 'R', 'NONE', 'D', 'NONE', 'NONE', 'NONE', 'R', 'R', 'NONE', 'NONE', 'NONE', 'R', 'NONE', 'NONE', 'NONE', 'D', 'NONE', 'R', 'NONE', 'NONE', 'D', 'L', 'NONE', 'NONE', 'NONE', 'NONE', 'NONE']. Fitness: 45.1
